S2_B1,S2_B2,S2_B4,S2_B11,S2_B12,ARVI,CI,DVI,GEMI,GNDVI,IPVI,IRECI,MCARI,MSAVI,MSAVI2,NDVI,NDWI2,PSSRA,RI,RVI,SAVI,3_45_9,3_90_12,3_90_63,5_90_21,5_90_62,7_90_15,7_45_19,9_180_12,9_45_97,9_90_11,9_90_59,11_135_1,13_90_59,15_135_97,15_45_1,15_45_19,15_45_59,15_45_81,15_90_13,15_90_31,15_90_59,15_90_64,15_180_59,Label
0.0419,0.0315,0.0145,0.0144,0.013,1.42017,-0.07348,-0.0001,0.16592,-0.07692,0.49827,0.00021,0,-0.00019,0.49981,-0.00346,0.07692,1.01379,44.34129,0.9931,-0.00028,2.66667,0.44444,1,0,0,0.35527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0395,0.0288,0.0133,0.0126,0.0121,1.36364,-0.06667,0.001,0.16586,-0.03051,0.51812,0.00065,0,0.00195,0.50195,0.03623,0.03051,1.04511,50.37005,1.07519,0.00284,2,0,1,0.2,0,0.92087,0.85714,0.02469,0,0.98148,1,9.57851,1,0,9.42667,0.89111,1,0.6,0.06222,1,1,1,1,2
0.0426,0.0306,0.0156,0.013,0.0125,0.92,-0.01266,-0.0012,0.1657,-0.05263,0.48,-0.0015,0,-0.00233,0.49767,-0.04,0.05263,0.90385,59.41407,0.92308,-0.0034,2.55556,0.33333,1,0,0,0.25864,1,0.37037,0,0.80247,1,10.08264,1,0,10.10667,1,1,0.57333,0.44,1,1,1,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0.0423,0.0302,0.0152,0.0132,0.0129,0.97452,-0.02875,0.0003,0.16881,-0.01899,0.50489,0.00062,0,0.00058,0.50058,0.00977,0.01899,1.03947,55.36173,1.01974,0.00085,2.66667,0.55556,1,0,0,0.37443,1,0.32099,0,0.80864,1,10,1,0,10,1,1,0.17778,0.29333,1,1,1,1,5
0.043,0.0318,0.0155,0.0131,0.0135,1.10959,-0.04025,-0.0001,0.16848,-0.04348,0.49838,0.0005,0,-0.00019,0.49981,-0.00324,0.04348,1.03226,50.66822,0.99355,-0.00028,3,0,1,0,0,0.81091,1,0.1358,0,0.93827,1,10.64463,1,0,10.42667,1,1,0.23556,0.20889,1,1,1,1,6
0.0418,0.0311,0.0156,0.0129,0.012,0.98592,0.02295,-0.0015,0.16488,-0.02759,0.47475,-0.0006,0,-0.00291,0.49709,-0.05051,0.02759,0.96154,73.56825,0.90385,-0.00425,2.77778,0.44444,1,0,0,0.48938,1,0.37037,0,0.8642,1,10,1,0,10.01778,0.99556,1,0.81333,0.33333,1,1,1,1,7
0.0416,0.0312,0.0155,0.0136,0.0128,1.02759,-0.03125,-0.0008,0.16655,-0.05769,0.48676,0.0001,0,-0.00155,0.49845,-0.02649,0.05769,1.00645,53.48247,0.94839,-0.00226,2.66667,0.77778,1,0,0,0.3636,1,0.28395,0,0.80864,1,10,1,0,10,1,1,1,0.33333,1,1,1,1,1
0.0422,0.0312,0.0154,0.0137,0.0132,1.05369,-0.02532,-0.0001,0.16822,-0.02857,0.49837,-0.00031,0,-0.00019,0.49981,-0.00326,0.02857,0.98052,55.78231,0.99351,-0.00028,2.88889,0.22222,1,0,0,0.56851,1,0.34568,0,0.83333,1,10,1,0,10,1,1,0.52,0.33333,1,1,1,1,1
0.0387,0.0292,0.0153,0.0136,0.0134,0.81457,0.00328,-0.0016,0.16383,-0.0519,0.47241,-0.0004,0,-0.00311,0.49689,-0.05517,0.0519,0.97386,66.65796,0.89542,-0.00454,2,0,1,0,0,0.96002,1,0.02469,0,0.98765,1,9,1,0,9,0.98,1,0.64,0.03556,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0433,0.0331,0.0174,0.0143,0.0139,0.78205,-0.01136,-0.0035,0.16395,-0.12303,0.44409,-0.00108,0,-0.00679,0.49323,-0.11182,0.12303,0.93678,53.68319,0.79885,-0.00988,3,0,1,0,0,1,1,0.02469,0,0.98765,1,11,1,0,11,1,1,0.8,0.02667,1,1,1,1,1
0.0399,0.0284,0.0135,0.0128,0.0126,1.21875,-0.05923,0.0007,0.16555,-0.03401,0.51264,0.00117,0,0.00136,0.50136,0.02527,0.03401,1.08148,51.89632,1.05185,0.00199,2,0,1,0.04,0,0.74677,0.97959,0.16049,0,0.91358,1,10,1,0,10,0.98667,1,1,0.14222,1,1,1,1,1
0.0384,0.0285,0.0146,0.0126,0.0135,0.90909,-0.0363,0.0001,0.16673,-0.03289,0.50171,-0.0006,0,0.00019,0.50019,0.00341,0.03289,0.9589,55.08164,1.00685,0.00028,2,0,1,0,0,0.88338,1,0.09877,0,0.95679,1,9,1,0,9,1,1,0.46667,0.09333,1,1,1,1,1
0.0376,0.0308,0.0154,0.0138,0.0134,1,-0.04644,-0.0015,0.16436,-0.0974,0.4744,-0.00126,0,-0.00291,0.49709,-0.05119,0.0974,0.92857,49.13391,0.9026,-0.00425,2.33333,0.55556,1,0,0,0.57018,1,0.12346,0,0.90741,1,9,1,0,9,1,1,0.2,0.24444,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0404,0.0305,0.0146,0.0136,0.0126,1.19847,-0.0363,-0.0002,0.1659,-0.04319,0.49655,0.00089,0,-0.00039,0.49961,-0.0069,0.04319,1.06164,55.08164,0.9863,-0.00057,2,0,1,0,0,0.54602,1,0.35802,0,0.87037,1,10,1,0,10,1,1,0.20444,0.36444,1,1,1,1,1
0.0429,0.0321,0.0159,0.0137,0.013,1.04138,-0.01548,-0.0011,0.16674,-0.05128,0.48208,-0.00053,0,-0.00213,0.49787,-0.03583,0.05128,0.96855,57.31426,0.93082,-0.00311,2.66667,0.44444,1,0,0,0.4369,1,0.2963,0,0.85185,1,10.33884,1,0,10.4,1,1,0.56,0.28444,1,1,1,1,1
0.0387,0.0294,0.0153,0.0135,0.013,0.84416,0.0099,-0.0011,0.16521,-0.0274,0.48136,0.00059,0,-0.00214,0.49787,-0.03729,0.0274,1.03922,69.36003,0.9281,-0.00312,2.22222,0.22222,1,0,0,0.46689,1,0.2963,0,0.85185,1,9,1,0,9,1,1,0.77333,0.31111,1,1,1,1,1
0.0388,0.0302,0.016,0.0133,0.0133,0.78182,-0.03904,-0.0013,0.16645,-0.08125,0.47883,-0.00021,0,-0.00252,0.49748,-0.04235,0.08125,0.9875,49.44265,0.91875,-0.00367,2.11111,0.22222,1,0,0,0.44773,1,0.24691,0,0.87654,1,9,1,0,9,1,1,0.76,0.30667,1,1,1,1,1
0.0398,0.03,0.0143,0.0132,0.0149,1.21374,-0.0623,0.0002,0.16623,-0.05537,0.50347,0.00157,0,0.00039,0.50039,0.00694,0.05537,1.1049,48.09802,1.01399,0.00057,2,0.11111,1,0.08,0,0.601,0.97959,0.17284,0,0.87037,1,10,1,0,10,0.99556,1,1,0.32,1,1,1,1,1
0.0418,0.0308,0.0154,0.0137,0.0129,1,-0.02839,-0.0002,0.16795,-0.03492,0.49673,0.00074,0,-0.00039,0.49961,-0.00654,0.03492,1.04545,54.76191,0.98701,-0.00057,2.44444,0.77778,1,0,0,0.44357,1,0.32099,0,0.83333,1,10,1,0,10,1,1,0.29333,0.36889,1,1,1,1,1
0.0427,0.0326,0.0163,0.0132,0.0135,1,-0.02395,-0.0007,0.16886,-0.04587,0.48903,-0.00059,0,-0.00136,0.49864,-0.02194,0.04587,0.96319,53.13575,0.95706,-0.00197,2.88889,0.11111,1,0,0,0.92087,1,0.07407,0,0.94444,1,10,1,0,10,1,1,0.86667,0.14222,1,1,1,1,1
0.0386,0.0299,0.0156,0.0137,0.0125,0.84615,-0.04,0,0.16901,-0.04,0.5,0,0,0,0.5,0,0.04,1,50.41841,1,0,2.22222,0.44444,1,0,0,0.59267,1,0.19753,0,0.90741,1,9,1,0,9,1,1,0.31111,0.2,1,1,1,1,1
0.0394,0.03,0.0158,0.0142,0.0139,0.81609,-0.01558,0,0.16951,-0.01558,0.5,-0.00106,0,0,0.5,0,0.01558,0.93038,57.64362,1,0,2,0,1,0,0,0.54186,1,0.17284,0,0.90123,1,9.23141,1,0,9.26667,1,1,0.21333,0.23556,1,1,1,1,1
0.0417,0.0324,0.0148,0.0138,0.0132,1.46281,-0.05431,0.0001,0.16724,-0.05096,0.50168,0.00107,0,0.00019,0.50019,0.00337,0.05096,1.06757,48.76087,1.00676,0.00028,2.77778,0.33333,1,0,0,0.31778,1,0.32099,0,0.7716,1,10,1,0,10,1,1,0.70667,0.38222,1,1,1,1,1
0.0392,0.0296,0.0144,0.0137,0.0137,1.10457,-0.09148,0.0017,0.17063,-0.03593,0.52787,0.00172,0,0.0033,0.5033,0.05574,0.03593,1.125,40.04854,1.11806,0.00481,2.11111,0.22222,1,0,0,0.42274,1,0.38272,0,0.79012,1,9.33058,1,0,9.32,1,1,0.92,0.37778,1,1,1,1,1
0.0427,0.03,0.016,0.0138,0.0129,0.7546,-0.03614,-0.0017,0.16535,-0.09206,0.47195,-0.0002,0,-0.0033,0.49671,-0.05611,0.09206,0.9875,50.31006,0.89375,-0.00481,2.55556,0.44444,1,0,0,0.46855,1,0.24691,0,0.91358,1,10.04959,1,0,10.07111,1,1,0.93333,0.19556,1,1,1,1,1
